Haplogroup	Ind	AMELY	BPY2	CDY	DAZ	DBY	EIF1AY	HSFY	KDM5D	NLGN4Y	PRKY	RBMY1A1	RPS4Y1	RPS4Y2	SRY	TBL1Y	TMSB4Y	TSPY	TXLNGY	USP9Y	UTY	VCY	XKRY	ZFY	PRY
R1b1	1326-03	0.89	3.02	2.99	3.22	0.97	0.91	1.92	0.98	0.98	0.97	8.77	1.00	0.97	1.21	0.99	0.89	21.11	0.98	0.97	0.96	2.38	1.82	0.88	2.06
R1b1	1326-01	0.87	3.15	3.03	3.28	0.95	0.92	1.94	0.97	0.98	0.98	9.01	1.00	0.99	0.85	1.00	0.90	22.13	0.96	0.96	0.95	2.73	2.10	0.90	2.09
R1b1	1136-04	0.89	3.02	3.07	3.27	0.97	0.91	1.98	0.94	0.99	1.00	8.96	1.01	1.01	1.06	1.02	0.96	21.27	1.01	0.96	0.96	2.82	1.94	0.88	2.04
R1b1	1136-01	0.89	3.00	3.13	3.26	1.02	0.95	1.91	1.00	0.96	0.96	8.92	0.99	0.99	0.92	0.99	0.93	21.56	0.98	0.97	0.96	2.31	2.04	0.91	2.11
R1b1	1298-01	0.89	3.59	2.83	3.34	0.94	0.85	1.89	0.95	0.99	1.01	7.94	1.04	1.00	1.20	1.04	0.79	21.61	0.96	0.92	0.92	2.45	2.02	0.83	2.37
R1b1	1030-06	0.91	3.22	2.97	3.26	0.96	0.90	1.88	0.97	0.97	1.01	8.73	0.98	0.97	1.08	1.01	0.90	22.24	0.98	0.97	0.96	2.27	1.90	0.86	2.14
R1b1	1030-01	0.87	3.07	3.14	3.36	1.00	0.94	1.95	1.00	0.99	0.99	9.02	0.96	1.01	0.92	1.00	0.93	21.80	0.99	0.97	0.97	2.19	1.88	0.89	2.13
R1b1	877-01	0.88	3.20	3.06	3.36	0.96	0.90	1.96	0.97	1.01	1.03	8.88	1.03	0.99	1.32	1.02	0.90	22.06	0.98	0.98	0.97	2.83	1.87	0.87	2.18
R1b1	727-04	0.88	3.00	3.01	3.16	0.93	0.92	1.91	0.96	0.97	0.96	8.81	0.99	0.99	1.13	1.00	0.91	20.41	0.97	0.95	0.95	2.25	1.86	0.88	2.13
R1b1	727-01	0.90	3.12	2.99	3.29	0.98	0.90	1.86	0.96	0.97	1.00	8.78	1.03	1.00	1.12	1.02	0.92	20.42	0.97	0.95	0.94	2.77	1.77	0.86	2.17
R1b1	878-01	0.89	3.00	3.02	3.17	0.98	0.91	1.87	0.98	0.98	0.99	6.07	1.00	0.99	0.96	1.00	0.93	21.97	0.99	0.95	0.96	2.34	1.92	0.88	2.01	
R1b1	1423-01	0.90	3.73	2.85	3.35	0.95	0.81	1.88	1.00	0.99	1.01	8.75	1.05	1.05	1.38	1.05	0.84	21.08	0.97	0.92	0.91	2.37	1.82	0.82	2.28
R1b1	1304-01	0.88	3.43	2.80	3.33	0.92	0.85	1.84	0.95	0.99	1.01	8.43	1.00	0.98	1.00	1.03	0.88	21.70	0.97	0.93	0.92	2.36	1.66	0.82	2.14
R1b1	1009-01	0.89	3.30	2.98	3.31	0.99	0.88	1.89	0.97	0.98	1.03	8.56	1.01	0.99	1.09	1.01	0.91	21.48	0.98	0.95	0.95	2.24	1.87	0.87	2.12
R1b1	656-01	0.92	2.98	2.97	3.34	0.99	0.95	1.94	1.01	0.98	1.04	8.82	1.03	1.04	1.11	1.05	0.94	21.55	1.00	0.98	0.98	2.95	1.97	0.90	2.05
R1b1	1433-01	0.87	3.04	3.13	3.13	0.98	0.95	1.90	0.98	0.99	0.97	10.72	0.99	0.98	0.87	0.99	0.86	23.16	1.00	0.96	0.97	2.58	1.84	0.89	2.07
R1b1	1293-01	0.90	3.22	3.02	3.35	0.95	0.93	1.95	0.97	1.01	1.03	8.94	0.95	0.99	1.10	1.03	0.90	22.13	0.98	0.98	0.96	2.82	2.09	0.86	2.11
R1b1	726-07	0.89	3.13	3.10	3.29	1.02	0.91	1.92	1.00	0.97	0.99	8.84	1.00	0.99	1.09	1.00	0.94	19.77	0.98	0.97	0.95	2.40	1.96	0.88	2.21
R1b1	709-01	0.88	3.12	3.13	3.18	0.99	0.91	1.94	0.98	0.98	0.98	8.82	1.00	1.01	1.04	1.00	0.91	22.38	0.96	0.95	0.94	2.41	1.88	0.88	2.16
R1b1	844-01	0.88	3.16	3.06	3.24	0.99	0.93	1.95	0.99	0.98	0.97	8.89	0.97	0.98	1.05	1.00	0.95	22.35	0.98	0.96	0.96	2.20	2.04	0.86	2.30
R1b1	1330-01	0.89	3.24	2.95	3.27	0.97	0.87	1.89	1.00	0.98	1.01	8.57	0.97	0.97	1.21	1.00	0.88	22.42	0.96	0.96	0.95	2.52	1.76	0.84	2.09
R1b1	955-04	0.87	3.08	3.00	3.33	0.98	0.91	1.90	0.96	1.00	1.01	8.56	1.00	0.98	1.01	1.01	0.98	21.49	0.96	0.96	0.96	2.39	1.92	0.90	2.10
R1b1	955-01	0.90	3.06	3.00	3.17	0.96	0.92	1.88	1.01	0.99	0.98	8.72	0.98	0.95	1.18	0.99	0.85	21.45	0.98	0.96	0.96	2.56	1.99	0.89	1.98
R1b1	651-01	0.90	3.24	3.01	3.25	0.98	0.91	1.91	0.97	0.98	1.00	8.71	0.99	0.98	1.04	1.01	0.86	20.94	0.96	0.96	0.95	2.39	2.00	0.87	2.16
R1b1	797-03	0.87	3.03	3.11	3.15	0.96	0.96	1.91	0.98	0.98	0.96	6.96	0.99	0.99	0.91	0.99	0.90	21.19	0.97	0.95	0.96	2.48	1.82	0.90	2.03
R1b1	797-01	0.89	3.06	3.12	3.20	0.99	0.95	1.94	1.01	0.98	0.97	7.15	0.98	1.00	0.90	1.02	0.87	21.65	1.00	0.96	0.97	2.51	1.98	0.90	2.11
R1b1	1506-05	0.89	3.07	3.04	3.33	0.96	0.92	1.87	0.99	0.97	0.98	6.89	0.98	0.99	0.80	0.99	0.84	20.67	0.97	0.95	0.95	2.53	1.80	0.88	2.03
R1b1	1506-01	0.89	3.08	2.95	3.37	0.97	0.90	1.88	0.97	0.97	0.96	6.89	1.00	1.00	1.09	1.00	0.88	20.55	0.99	0.95	0.96	2.21	2.05	0.88	2.16
R1a1	714-01	0.90	3.03	3.10	3.14	0.96	0.94	1.91	0.96	0.97	1.00	9.51	1.00	0.99	1.00	1.00	0.82	22.27	0.97	0.96	0.96	2.27	1.95	0.89	2.15
R1a1	1252-01	0.90	3.23	3.04	3.38	0.96	0.89	1.93	0.99	1.00	1.02	9.79	1.00	1.01	1.05	1.02	0.86	23.45	0.97	0.97	0.97	2.22	2.00	0.87	2.23
R1a1	687-04	0.90	3.09	3.07	3.30	0.99	0.93	1.92	0.98	0.99	0.99	5.86	1.00	1.00	1.10	0.99	0.87	22.15	0.97	0.96	0.96	2.42	1.80	0.86	2.16
R1a1	687-01	0.88	3.01	3.06	3.22	0.97	0.91	1.89	0.96	0.98	0.99	6.01	0.99	1.01	0.88	1.00	0.93	21.54	0.96	0.96	0.95	2.35	1.87	0.86	2.16
Q1a2	1237-01	0.88	3.04	2.98	3.28	0.93	0.90	1.86	0.96	0.99	1.01	9.48	0.99	0.97	1.02	1.00	0.95	21.82	0.97	0.96	0.96	2.38	1.90	0.88	2.01
Q1a2	1505-01	0.88	3.24	3.02	3.12	0.96	0.90	1.92	0.98	0.99	1.01	9.50	1.01	1.00	1.09	1.01	0.89	21.14	0.97	0.97	0.96	2.35	1.90	0.87	2.18
I2a1	983-05	0.89	3.11	3.02	3.44	0.93	0.92	1.96	0.98	0.96	0.97	7.11	0.98	0.98	1.04	1.02	0.98	22.49	0.99	0.97	0.96	2.42	1.89	0.85	2.10
I2a1	983-01	0.87	2.95	3.10	3.24	0.94	0.92	1.92	0.99	0.98	0.97	6.84	0.99	0.99	0.83	1.00	0.81	22.52	0.96	0.97	0.96	2.35	1.70	0.88	2.04
I2a2	1426-01	0.93	3.87	2.90	3.88	1.00	0.84	1.87	0.96	1.02	1.07	9.03	1.06	1.09	1.30	1.11	0.91	22.68	0.94	0.94	0.94	2.65	1.79	0.84	2.37
I2a2	1089-06	0.88	3.05	3.01	3.28	0.97	0.92	1.86	0.98	0.98	0.98	7.69	0.98	0.98	0.89	1.00	0.91	22.74	0.98	0.96	0.96	2.12	1.73	0.88	2.07
I1a1	1089-01	0.88	3.08	3.02	3.33	0.98	0.94	1.91	0.96	1.00	1.00	7.93	1.01	1.00	0.92	1.00	0.89	23.15	0.98	0.97	0.96	2.85	2.00	0.90	2.09
I1a1	1389-01	0.90	3.12	3.09	3.28	0.99	0.90	1.93	0.97	1.00	1.03	9.76	1.02	1.00	0.96	1.01	0.83	23.10	1.02	0.98	0.97	2.38	1.89	0.89	2.17
I1a1	1054-01	0.90	3.07	3.02	3.31	0.99	0.89	1.91	0.97	0.99	1.00	11.51	1.01	0.95	1.06	1.01	0.94	23.48	0.98	0.97	0.96	2.38	1.90	0.86	2.17
I1a1	1214-04	0.91	3.07	3.04	3.28	0.95	0.94	1.93	0.96	1.00	1.00	8.58	0.98	0.95	1.03	1.00	0.80	23.08	0.97	0.98	0.95	2.38	1.83	0.86	2.13
I1a1	1214-01	0.90	3.09	3.05	3.15	0.97	0.91	1.89	0.94	0.98	1.00	8.53	1.01	0.99	0.91	0.99	0.80	22.30	0.96	0.96	0.94	2.41	1.99	0.88	2.16
I1a1	995-01	0.88	3.97	4.13	4.91	0.98	0.93	1.99	0.96	0.98	0.95	9.03	0.98	0.97	0.83	0.98	0.83	22.77	0.99	0.99	0.96	2.05	1.99	0.90	2.04
I1a1	1406-03	0.89	3.04	3.06	3.27	0.96	0.92	1.92	0.99	1.00	1.00	8.78	0.96	0.98	0.98	1.00	0.98	16.94	0.98	0.96	0.95	2.65	1.98	0.87	2.17
I1a1	1406-01	0.87	3.13	2.99	3.23	0.99	0.90	1.89	0.98	0.98	1.03	8.72	0.97	1.01	1.09	0.99	1.01	16.65	0.97	0.96	0.95	2.25	1.94	0.88	2.14
I1a1	1113-05	0.89	3.25	3.62	3.45	0.97	0.86	1.94	0.97	0.99	0.97	8.67	0.98	0.98	1.10	0.99	0.87	23.23	0.95	0.97	0.95	2.08	2.85	0.89	2.10
I1a1	1113-01	0.91	3.26	3.63	3.23	0.98	0.90	1.89	0.96	1.00	1.01	8.67	0.98	1.01	1.00	1.01	0.87	23.26	0.95	0.97	0.96	2.65	2.97	0.86	2.14
I1a1	1468-01	0.88	3.08	2.99	3.32	0.97	0.92	1.89	0.97	0.98	0.97	8.75	0.98	0.99	1.01	0.99	0.92	24.67	0.96	0.97	0.95	2.47	1.85	0.88	2.12
I1a1	989-01	0.91	3.19	2.93	3.31	0.95	0.87	1.93	0.98	1.02	1.02	8.77	0.96	0.95	1.04	1.01	0.86	23.26	0.96	0.97	0.95	2.53	1.97	0.87	2.00
I1a3	918-01	0.89	3.09	3.07	3.14	0.97	0.91	1.94	0.97	0.99	0.99	7.95	1.00	1.01	1.02	1.01	0.85	22.96	0.99	0.96	0.96	2.38	2.02	0.88	2.14
I1a2	749-05	0.91	3.23	3.08	3.14	0.97	0.89	1.94	0.96	0.97	0.98	9.66	1.00	1.00	1.06	1.01	0.87	22.12	0.98	0.96	0.96	2.41	1.94	0.87	2.17
I1a2	749-01	0.89	3.10	3.11	3.24	0.97	0.96	1.97	1.01	0.99	0.99	9.68	0.98	0.98	1.18	1.00	0.93	22.75	0.98	0.96	0.97	2.54	1.89	0.88	2.17
I1a2	623-01	0.87	2.06	2.16	1.66	0.97	0.91	1.92	0.96	1.00	0.98	8.76	0.98	0.95	1.08	0.98	0.91	23.01	0.98	0.96	0.96	2.51	1.95	0.87	2.11
I1a2	890-01	0.88	3.28	2.92	3.30	0.98	0.87	1.92	0.97	0.99	1.03	8.69	1.00	0.96	0.99	1.01	0.88	22.70	0.97	0.95	0.95	2.58	1.86	0.87	3.31
I1a2	1331-01	0.87	3.14	3.02	3.35	0.99	0.90	1.88	0.98	0.99	1.00	8.69	1.02	0.97	1.10	1.00	0.88	21.71	0.97	0.96	0.96	2.43	2.03	0.86	2.11
I1a2	1376-03	0.89	3.10	3.01	3.21	0.97	0.90	1.93	0.97	0.99	0.98	8.66	0.96	0.99	1.09	1.00	0.86	23.19	0.98	0.96	0.97	2.17	1.75	0.88	2.12
I1a2	1376-01	0.91	3.24	2.96	3.22	0.98	0.92	1.88	0.99	0.99	1.01	8.56	1.00	1.00	1.09	1.02	0.93	22.39	0.96	0.96	0.96	2.49	1.85	0.87	2.18
I1a2	701-03	0.89	3.13	2.95	3.09	0.93	0.89	1.88	0.95	0.99	0.98	8.54	1.01	0.99	1.01	1.00	0.89	22.49	0.98	0.96	0.95	2.64	1.70	0.89	2.05
I1a2	701-01	0.87	3.22	3.00	3.26	0.95	0.89	1.89	0.98	0.98	0.99	8.57	0.98	0.97	1.06	1.00	0.82	22.60	0.97	0.97	0.95	2.67	1.87	0.87	2.18
I1a2	1270-06	0.87	3.06	2.90	3.36	0.97	0.93	1.91	0.99	0.99	0.98	6.79	0.99	0.98	1.05	0.99	0.93	24.02	0.95	0.96	0.96	2.42	1.78	0.86	2.02
I1a2	1270-01	0.88	2.99	3.02	3.17	0.97	0.97	1.91	0.99	0.98	0.99	6.89	1.00	0.97	0.85	0.99	0.87	24.05	1.00	0.96	0.97	2.47	2.03	0.86	2.12
